N,Release Date,Movie,Production Budget,Domestic Gross,Worldwide Gross
1,12/18/2009,Avatar,425000000,760507625,2783918982
2,5/24/2007,Pirates of the Caribbean: At World's End,300000000,309420425,960996492
3,7/20/2012,The Dark Knight Rises,275000000,448139099,1079343943
4,7/2/2013,The Lone Ranger,275000000,89289910,259989910
5,3/9/2012,John Carter,275000000,73058679,282778100
6,11/24/2010,Tangled,260000000,200821936,586581936
7,5/4/2007,Spider-Man 3,258000000,336530303,890875303
8,12/14/2012,The Hobbit: An Unexpected Journey,250000000,303003568,1014703568
9,7/15/2009,Harry Potter and the Half-Blood Prince,250000000,301959197,934416487
10,12/13/2013,The Hobbit: The Desolation of Smaug,250000000,258366855,950466855
11,5/20/2011,Pirates of the Caribbean: On Stranger Tides,250000000,241063875,1043663875
12,12/17/2014,The Hobbit: The Battle of the Five Armies,250000000,0,0
13,6/28/2006,Superman Returns,232000000,200120000,390874000
14,11/14/2008,Quantum of Solace,230000000,169368427,591692078
15,5/4/2012,The Avengers,225000000,623279547,1514279547
16,7/7/2006,Pirates of the Caribbean: Dead Man's Chest,225000000,423315812,1060615812
17,6/14/2013,Man of Steel,225000000,291045518,667999518
18,5/16/2008,The Chronicles of Narnia: Prince Caspian,225000000,141621490,419490286
19,7/3/2012,The Amazing Spider-Man,220000000,262030663,757890267
20,5/25/2012,Men in Black 3,215000000,179020854,624821154
21,6/24/2009,Transformers: Revenge of the Fallen,210000000,402111870,836519699
22,6/27/2014,Transformers: Age of Extinction,210000000,245439076,1081139076
23,5/26/2006,X-Men: The Last Stand,210000000,234362462,459359555
24,5/14/2010,Robin Hood,210000000,105487148,322459006
25,5/18/2012,Battleship,209000000,65235400,304150372
26,12/14/2005,King Kong,207000000,218080025,550517357
27,12/1/2007,The Golden Compass,205000000,70107728,372234864
28,12/17/1997,Titanic,200000000,658672302,2207615668
29,6/18/2010,Toy Story 3,200000000,415004880,1063759456
30,5/3/2013,Iron Man 3,200000000,408992272,1212692272
31,6/30/2004,Spider-Man 2,200000000,373524485,783705001
32,3/5/2010,Alice in Wonderland,200000000,334191110,1024391110
33,11/8/2012,Skyfall,200000000,304360277,1108694081
34,6/21/2013,Monsters University,200000000,268488329,743588329
35,3/8/2013,Oz the Great and Powerful,200000000,234770996,489570996
36,5/23/2014,X-Men: Days of Future Past,200000000,233921534,744321534
37,5/2/2014,The Amazing Spider-Man 2,200000000,202853933,708995815
38,6/24/2011,Cars 2,200000000,191450875,560155383
39,12/17/2010,Tron: Legacy,200000000,172062763,397562763
40,11/13/2009,2012,200000000,166112167,788408539
41,5/21/2009,Terminator Salvation: The Future Begins,200000000,125322469,371628539
42,6/17/2011,Green Lantern,200000000,116601172,231201172
43,5/28/2010,Prince of Persia: Sands of Time,200000000,90759676,335059676
44,6/29/2011,Transformers: Dark of the Moon,195000000,352390543,1123794076
45,3/1/2013,Jack the Giant Slayer,195000000,65187603,197387603
